"PRASYMO_ID";"PRASYMO_PATEIKIMO_DATA";"LANKYTI_NUO";"ISTAIGA";"ISTAIGOS_KODAS";"KALBA";"PAGEIDAUJAMA_LANKYTI_KLASE"
"15";"2017-02-28 23:12:09";"2017-09-01";"Vilniaus ""Taikos"" progimnazija";"195007889";"lt";"1"
"16";"2017-03-01 08:55:19";"2017-09-01";"Vilniaus ""Atgajos"" specialioji mokykla";"190981194";"lt";"1"
"16";"2017-03-01 08:55:19";"2017-09-01";"Vilniaus ""Ryto"" progimnazija";"190006057";"lt";"1"
"17";"2017-03-01 08:56:03";"2017-09-01";"Vilniaus ""Genio"" progimnazija";"191665719";"lt";"5"
"17";"2017-03-01 08:56:03";"2017-09-01";"Vilniaus ""Ąžuolyno"" progimnazija";"190006395";"lt";"5"
"17";"2017-03-01 08:56:03";"2017-09-01";"Vilniaus ""Taikos"" progimnazija";"195007889";"lt";"5"
"17";"2017-03-01 08:56:03";"2017-09-01";"Vilniaus Žemynos progimnazija";"295472120";"lt";"5"
"17";"2017-03-01 08:56:03";"2017-09-01";"Vilniaus ""Sietuvos"" progimnazija";"190008784";"lt";"5"
"18";"2017-03-01 08:56:11";"2017-09-01";"Vilniaus Antano Vienuolio progimnazija";"300134205";"lt";"1"
"19";"2017-03-01 08:57:48";"2017-09-01";"Vilniaus Šeškinės pradinė mokykla";"191713384";"lt";"1"
"19";"2017-03-01 08:57:48";"2017-09-01";"Vilniaus Žygimanto Augusto pagrindinė mokykla";"290003090";"lt";"1"
"19";"2017-03-01 08:57:48";"2017-09-01";"Vilniaus ""Šviesos"" pradinė mokykla";"191665480";"lt";"1"
"19";"2017-03-01 08:57:48";"2017-09-01";"Vilniaus Simono Stanevičiaus progimnazija";"290008970";"lt";"1"
"20";"2017-03-01 08:58:20";"2017-09-01";"Vilniaus ""Šviesos"" pradinė mokykla";"191665480";"lt";"1"
"20";"2017-03-01 08:58:20";"2017-09-01";"Vilniaus Žemynos progimnazija";"295472120";"lt";"1"
"20";"2017-03-01 08:58:20";"2017-09-01";"Vilniaus Fabijoniškių mokykla";"190003851";"lt";"1"
"20";"2017-03-01 08:58:20";"2017-09-01";"Vilniaus Abraomo Kulviečio klasikinė gimnazija";"195005870";"lt";"1"
"21";"2017-03-01 08:58:46";"2017-09-01";"Vilniaus ""Taikos"" progimnazija";"195007889";"lt";"1"
"21";"2017-03-01 08:58:46";"2017-09-01";"Vilniaus ""Vyturio"" pradinė mokykla";"190009167";"lt";"1"
"22";"2017-03-01 08:58:57";"2017-09-01";"Vilniaus Jeruzalės progimnazija";"190000937";"lt";"1"
"23";"2017-03-01 08:58:59";"2017-09-01";"Vilniaus Žemynos progimnazija";"295472120";"lt";"5"
"23";"2017-03-01 08:58:59";"2017-09-01";"Vilniaus Gabijos gimnazija";"190003513";"lt";"5"
"23";"2017-03-01 08:58:59";"2017-09-01";"Vilniaus ""Sietuvos"" progimnazija";"190008784";"lt";"5"
"24";"2017-03-01 08:59:11";"2017-09-01";"Vilniaus Balsių progimnazija";"302589995";"lt";"1"
"25";"2017-03-01 08:59:12";"2017-09-01";"Vilniaus ""Ąžuolyno"" progimnazija";"190006395";"lt";"5"
"25";"2017-03-01 08:59:12";"2017-09-01";"Vilniaus Sausio 13-osios mokykla";"190005293";"lt";"5"
"26";"2017-03-01 08:59:18";"2017-09-01";"Vilniaus ""Vyturio"" pradinė mokykla";"190009167";"lt";"1"
"27";"2017-03-01 08:59:22";"2017-09-01";"Vilniaus Gerosios Vilties progimnazija";"190004615";"lt";"1"
"27";"2017-03-01 08:59:22";"2017-09-01";"Vilniaus Gabijos gimnazija";"190003513";"lt";"1"
"27";"2017-03-01 08:59:22";"2017-09-01";"Vilniaus Antano Vienuolio progimnazija";"300134205";"lt";"1"
"27";"2017-03-01 08:59:22";"2017-09-01";"Vilniaus ""Taikos"" progimnazija";"195007889";"lt";"1"
"27";"2017-03-01 08:59:22";"2017-09-01";"Vilniaus ""Pelėdos"" pradinė mokykla";"190016165";"lt";"1"
"28";"2017-03-01 08:59:29";"2017-09-01";"Vilniaus šv. Kristoforo progimnazija";"302420714";"lt";"1"
"29";"2017-03-01 08:59:30";"2017-09-01";"Vilniaus ""Šviesos"" pradinė mokykla";"191665480";"lt";"1"
"30";"2017-03-01 08:59:31";"2017-09-01";"Vilniaus Šeškinės pradinė mokykla";"191713384";"lt";"1"
"30";"2017-03-01 08:59:31";"2017-09-01";"Vilniaus Žygimanto Augusto pagrindinė mokykla";"290003090";"lt";"1"
"30";"2017-03-01 08:59:31";"2017-09-01";"Vilniaus Baltupių progimnazija";"190000894";"lt";"1"
"31";"2017-03-01 08:59:33";"2017-09-01";"Vilniaus Šeškinės pradinė mokykla";"191713384";"lt";"1"
"31";"2017-03-01 08:59:33";"2017-09-01";"Vilniaus Žygimanto Augusto pagrindinė mokykla";"290003090";"lt";"1"
"32";"2017-03-01 08:59:46";"2017-09-01";"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";"190001843";"lt";"1"
"32";"2017-03-01 08:59:46";"2017-09-01";"Vilniaus Tuskulėnų gimnazija";"190002030";"lt";"1"
"33";"2017-03-01 09:00:04";"2017-09-01";"Vilniaus Martyno Mažvydo progimnazija";"195003862";"lt";"1"
"34";"2017-03-01 09:00:10";"2017-09-01";"Vilniaus Mykolo Biržiškos gimnazija";"190003328";"lt";"9"
"34";"2017-03-01 09:00:10";"2017-09-01";"Vilniaus Vytauto Didžiojo gimnazija";"300134269";"lt";"9"
"34";"2017-03-01 09:00:10";"2017-09-01";"Vilniaus Simono Daukanto gimnazija";"301806652";"lt";"9"
"34";"2017-03-01 09:00:10";"2017-09-01";"Vilniaus Žemynos gimnazija";"190008827";"lt";"9"
"34";"2017-03-01 09:00:10";"2017-09-01";"Vilniaus Karoliniškių gimnazija";"190008631";"lt";"9"
"35";"2017-03-01 09:00:13";"2017-09-01";"Vilniaus Žėručio pradinė mokykla";"195007921";"lt";"1"
"35";"2017-03-01 09:00:13";"2017-09-01";"Vilniaus ""Ąžuolyno"" progimnazija";"190006395";"lt";"1"
"36";"2017-03-01 09:00:16";"2017-09-01";"Vilniaus šv. Kristoforo progimnazija";"302420714";"lt";"1"
"36";"2017-03-01 09:00:16";"2017-09-01";"Vilniaus Tuskulėnų gimnazija";"190002030";"lt";"1"
"36";"2017-03-01 09:00:16";"2017-09-01";"Vilniaus ""Genio"" progimnazija";"191665719";"lt";"1"
"37";"2017-03-01 09:00:27";"2017-09-01";"Vilniaus Fabijoniškių mokykla";"190003851";"lt";"1"
"37";"2017-03-01 09:00:27";"2017-09-01";"Vilniaus Gabijos gimnazija";"190003513";"lt";"1"
"37";"2017-03-01 09:00:27";"2017-09-01";"Vilniaus Abraomo Kulviečio klasikinė gimnazija";"195005870";"lt";"1"
"37";"2017-03-01 09:00:27";"2017-09-01";"Vilniaus Žemynos progimnazija";"295472120";"lt";"1"
"38";"2017-03-01 09:00:30";"2017-09-01";"Vilniaus ""Taikos"" progimnazija";"195007889";"lt";"1"
"38";"2017-03-01 09:00:30";"2017-09-01";"Vilniaus Žemynos progimnazija";"295472120";"lt";"1"
"38";"2017-03-01 09:00:30";"2017-09-01";"Vilniaus Medeinos pradinė mokykla";"190032746";"lt";"1"
"38";"2017-03-01 09:00:30";"2017-09-01";"Vilniaus ""Genio"" progimnazija";"191665719";"lt";"1"
"39";"2017-03-01 09:00:30";"2017-09-01";"Vilniaus ""Aušros"" mokykla-darželis";"190032365";"lt";"1"
"39";"2017-03-01 09:00:30";"2017-09-01";"Vilniaus Medeinos pradinė mokykla";"190032746";"lt";"1"
"39";"2017-03-01 09:00:30";"2017-09-01";"Vilniaus ""Genio"" progimnazija";"191665719";"lt";"1"
"39";"2017-03-01 09:00:30";"2017-09-01";"Vilniaus ""Pelėdos"" pradinė mokykla";"190016165";"lt";"1"
"39";"2017-03-01 09:00:30";"2017-09-01";"Vilniaus Gabijos gimnazija";"190003513";"lt";"1"
"40";"2017-03-01 09:00:37";"2017-09-01";"Vilniaus Žvėryno gimnazija";"190001081";"lt";"5"
"40";"2017-03-01 09:00:37";"2017-09-01";"Vilniaus ""Genio"" progimnazija";"191665719";"lt";"5"
"40";"2017-03-01 09:00:37";"2017-09-01";"Vilniaus Šolomo Aleichemo ORT gimnazija";"190009352";"lt";"5"
"40";"2017-03-01 09:00:37";"2017-09-01";"Vilniaus ""Ąžuolyno"" progimnazija";"190006395";"lt";"5"
"41";"2017-03-01 09:00:37";"2017-09-01";"Vilniaus ""Genio"" progimnazija";"191665719";"lt";"1"
"41";"2017-03-01 09:00:37";"2017-09-01";"Vilniaus Vytės Nemunėlio pradinė mokykla";"195472468";"lt";"1"
"42";"2017-03-01 09:00:43";"2017-09-01";"Vilniaus ""Ąžuolyno"" progimnazija";"190006395";"lt";"1"
"42";"2017-03-01 09:00:43";"2017-09-01";"Vilniaus Žėručio pradinė mokykla";"195007921";"lt";"1"
"42";"2017-03-01 09:00:43";"2017-09-01";"Vilniaus Sausio 13-osios mokykla";"190005293";"lt";"1"
"43";"2017-03-01 09:00:47";"2017-09-01";"Vilniaus Medeinos pradinė mokykla";"190032746";"lt";"1"
"43";"2017-03-01 09:00:47";"2017-09-01";"Vilniaus ""Aušros"" mokykla-darželis";"190032365";"lt";"1"
"43";"2017-03-01 09:00:47";"2017-09-01";"Vilniaus Žemynos progimnazija";"295472120";"lt";"1"
"43";"2017-03-01 09:00:47";"2017-09-01";"Vilniaus ""Sietuvos"" progimnazija";"190008784";"lt";"1"
"43";"2017-03-01 09:00:47";"2017-09-01";"Vilniaus Gabijos gimnazija";"190003513";"lt";"1"
"44";"2017-03-01 09:00:50";"2017-09-01";"Vilniaus Antano Vienuolio progimnazija";"300134205";"lt";"1"
"44";"2017-03-01 09:00:50";"2017-09-01";"Vilniaus Barboros Radvilaitės pagrindinė mokykla";"195474280";"lt";"1"
"45";"2017-03-01 09:00:57";"2017-09-01";"Vilniaus Jeruzalės progimnazija";"190000937";"lt";"1"
"45";"2017-03-01 09:00:57";"2017-09-01";"Vilniaus Baltupių progimnazija";"190000894";"lt";"1"
"46";"2017-03-01 09:01:03";"2017-09-01";"Vilniaus Filaretų pradinė mokykla";"190004234";"lt";"1"
"46";"2017-03-01 09:01:03";"2017-09-01";"Vilniaus ""Genio"" progimnazija";"191665719";"lt";"1"
"46";"2017-03-01 09:01:03";"2017-09-01";"Vilniaus ""Žiburio"" pradinė mokykla";"190022638";"lt";"1"
"46";"2017-03-01 09:01:03";"2017-09-01";"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";"190001843";"lt";"1"
"46";"2017-03-01 09:01:03";"2017-09-01";"Vilniaus Šolomo Aleichemo ORT gimnazija";"190009352";"lt";"1"
"47";"2017-03-01 09:01:06";"2017-09-01";"Vilniaus ""Pelėdos"" pradinė mokykla";"190016165";"lt";"1"
"47";"2017-03-01 09:01:06";"2017-09-01";"Vilniaus ""Vyturio"" pradinė mokykla";"190009167";"lt";"1"
"47";"2017-03-01 09:01:06";"2017-09-01";"Vilniaus ""Taikos"" progimnazija";"195007889";"lt";"1"
"48";"2017-03-01 09:01:08";"2017-09-01";"Vilniaus Abraomo Kulviečio klasikinė gimnazija";"195005870";"lt";"1"
"48";"2017-03-01 09:01:08";"2017-09-01";"Vilniaus Gabijos gimnazija";"190003513";"lt";"1"
"48";"2017-03-01 09:01:08";"2017-09-01";"Vilniaus Fabijoniškių mokykla";"190003851";"lt";"1"
"48";"2017-03-01 09:01:08";"2017-09-01";"Vilniaus ""Šviesos"" pradinė mokykla";"191665480";"lt";"1"
"48";"2017-03-01 09:01:08";"2017-09-01";"Vilniaus Medeinos pradinė mokykla";"190032746";"lt";"1"
"49";"2017-03-01 09:01:09";"2017-09-01";"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";"190001843";"lt";"1"
"50";"2017-03-01 09:01:09";"2017-09-01";"Vilniaus Tuskulėnų gimnazija";"190002030";"lt";"1"
"50";"2017-03-01 09:01:09";"2017-09-01";"Vilniaus šv. Kristoforo progimnazija";"302420714";"lt";"1"
"51";"2017-03-01 09:01:21";"2017-09-01";"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";"190001843";"lt";"5"
"51";"2017-03-01 09:01:21";"2017-09-01";"Vilniaus Šolomo Aleichemo ORT gimnazija";"190009352";"lt";"5"
"51";"2017-03-01 09:01:21";"2017-09-01";"Vilniaus šv. Kristoforo progimnazija";"302420714";"lt";"5"
"51";"2017-03-01 09:01:21";"2017-09-01";"Vilniaus Žvėryno gimnazija";"190001081";"lt";"5"
"51";"2017-03-01 09:01:21";"2017-09-01";"Vilniaus Tuskulėnų gimnazija";"190002030";"lt";"5"
"52";"2017-03-01 09:01:23";"2017-09-01";"Vilniaus Tuskulėnų gimnazija";"190002030";"lt";"1"
"52";"2017-03-01 09:01:23";"2017-09-01";"Vilniaus Prano Mašioto pradinė mokykla";"195008076";"lt";"1"
"52";"2017-03-01 09:01:23";"2017-09-01";"Vilniaus šv. Kristoforo progimnazija";"302420714";"lt";"1"
"53";"2017-03-01 09:01:24";"2017-09-01";"Vilniaus Antakalnio progimnazija";"302818006";"lt";"1"
