ID;INSTITUTION;INSTITUTION_CODE;LANGUAGE;CHILD_QUOTA;CLASS_COUNT;CLASS;QUOTA_YEAR;SUBMIT_COUNT
53;"Vilniaus Joachimo Lelevelio inžinerijos gimnazija";190000175;pl;20;1;1;2017;168
53;"Vilniaus Joachimo Lelevelio inžinerijos gimnazija";190000175;ru;20;1;1;2017;314
117;"Vilniaus Žirmūnų gimnazija";190000360;lt;0;0;1;2017;1017
34;"Vilniaus Baltupių progimnazija";190000894;lt;96;4;1;2017;635
52;"Vilniaus Jeruzalės progimnazija";190000937;lt;96;4;1;2017;664
119;"Vilniaus Žvėryno gimnazija";190001081;lt;0;0;1;2017;1046
103;"Vilniaus Užupio gimnazija";190001124;lt;0;0;1;2017;1052
111;"Vilniaus Vladislavo Sirokomlės gimnazija";190001462;pl;70;3;1;2017;218
50;"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";190001843;lt;94;4;1;2017;1378
102;"Vilniaus Tuskulėnų gimnazija";190002030;lt;96;4;1;2017;743
87;"Vilniaus Senvagės gimnazija";190002226;lt;0;0;1;2017;615
108;"Vilniaus Viršuliškių progimnazija";190002379;lt;96;4;1;2017;465
108;"Vilniaus Viršuliškių progimnazija";190002379;ru;96;4;1;2017;1
63;"Vilniaus Levo Karsavino mokykla";190002411;ru;72;3;1;2017;484
66;"Vilniaus Maironio progimnazija";190002564;lt;48;2;1;2017;383
78;"Vilniaus Radvilų gimnazija";190003285;lt;0;0;1;2017;718
69;"Vilniaus Mykolo Biržiškos gimnazija";190003328;lt;0;0;1;2017;1233
29;"Vilniaus Aleksandro Puškino mokykla";190003470;ru;89;4;1;2017;474
48;"Vilniaus Gabijos gimnazija";190003513;lt;96;4;1;2017;2102
48;"Vilniaus Gabijos gimnazija";190003513;ru;96;4;1;2017;1
1;"Vilniaus ""Ateities"" mokykla";190003666;ru;80;4;1;2017;284
46;"Vilniaus Fabijoniškių mokykla";190003851;lt;96;4;1;2017;670
47;"Vilniaus Filaretų pradinė mokykla";190004234;lt;96;4;1;2017;580
80;"Vilniaus Salomėjos Nėries gimnazija";190004387;lt;0;0;1;2017;492
51;"Vilniaus Gerosios Vilties progimnazija";190004615;lt;96;4;1;2017;410
92;"Vilniaus Simono Konarskio mokykla";190005140;pl;66;3;1;2017;247
81;"Vilniaus Sausio 13-osios mokykla";190005293;lt;48;2;1;2017;447
60;"Vilniaus karaliaus Mindaugo mokykla";190005336;lt;50;2;1;2017;418
62;"Vilniaus Lazdynų mokykla";190005489;lt;35;2;1;2017;162
62;"Vilniaus Lazdynų mokykla";190005489;pl;35;2;1;2017;225
62;"Vilniaus Lazdynų mokykla";190005489;ru;35;2;1;2017;615
10;"Vilniaus ""Minties"" gimnazija";190005717;lt;0;0;1;2017;503
12;"Vilniaus ""Ryto"" progimnazija";190006057;lt;72;3;1;2017;490
17;"Vilniaus ""Spindulio"" progimnazija";190006242;lt;72;3;1;2017;487
5;"Vilniaus ""Ąžuolyno"" progimnazija";190006395;lt;78;3;1;2017;912
5;"Vilniaus ""Ąžuolyno"" progimnazija";190006395;ru;78;3;1;2017;1
75;"Vilniaus Pilaitės gimnazija";190006438;lt;0;0;1;2017;431
86;"Vilniaus Senamiesčio mokykla";190006819;ru;0;0;1;2017;23
28;"Vilniaus Adomo Mickevičiaus gimnazija";190006961;pl;0;0;1;2017;201
65;"Vilniaus Liepkalnio mokykla";190007159;pl;48;2;1;2017;96
65;"Vilniaus Liepkalnio mokykla";190007159;ru;48;2;1;2017;236
71;"Vilniaus Naujininkų mokykla";190007344;lt;57;3;1;2017;241
71;"Vilniaus Naujininkų mokykla";190007344;ru;57;3;1;2017;1
15;"Vilniaus ""Saulėtekio"" mokykla-daugiafunkcis centras";190007497;ru;66;3;1;2017;164
9;"Vilniaus ""Laisvės"" gimnazija";190007682;lt;0;0;1;2017;271
59;"Vilniaus Juzefo Ignacijaus Kraševskio gimnazija";190007878;pl;20;1;1;2017;137
24;"Vilniaus ""Žaros"" gimnazija";190007910;lt;65;3;1;2017;1
24;"Vilniaus ""Žaros"" gimnazija";190007910;pl;65;3;1;2017;1
24;"Vilniaus ""Žaros"" gimnazija";190007910;ru;65;3;1;2017;247
73;"Vilniaus Pavilnio pagrindinė mokykla";190008065;pl;7;1;1;2017;56
73;"Vilniaus Pavilnio pagrindinė mokykla";190008065;ru;7;1;1;2017;110
8;"Vilniaus ""Juventos"" gimnazija";190008599;ru;0;0;1;2017;188
61;"Vilniaus Karoliniškių gimnazija";190008631;lt;0;0;1;2017;792
16;"Vilniaus ""Sietuvos"" progimnazija";190008784;lt;75;3;1;2017;645
114;"Vilniaus Žemynos gimnazija";190008827;lt;0;0;1;2017;1239
23;"Vilniaus ""Vyturio"" pradinė mokykla";190009167;lt;96;4;1;2017;515
96;"Vilniaus Šolomo Aleichemo ORT gimnazija";190009352;lt;52;2;1;2017;512
96;"Vilniaus Šolomo Aleichemo ORT gimnazija";190009352;ru;52;2;1;2017;1
26;"Vilniaus ""Židinio"" suaugusiųjų gimnazija";190009733;lt;0;0;1;2017;167
20;"Vilniaus ""Varpo"" suaugusiųjų gimnazija";190009886;lt;0;0;1;2017;38
39;"Vilniaus darželis-mokykla ""Dainorėliai""";190012291;lt;22;1;1;2017;168
37;"Vilniaus darželis - mokykla ""Vaivorykštė""";190013393;ru;52;2;1;2017;161
11;"Vilniaus ""Pelėdos"" pradinė mokykla";190016165;lt;72;3;1;2017;313
107;"Vilniaus Vilkpėdės darželis-mokykla";190016699;lt;0;0;1;2017;11
97;"Vilniaus specialiojo ugdymo centras ""Aidas""";190017790;lt;0;0;1;2017;13
41;"Vilniaus darželis-mokykla ""Šaltinėlis""";190021689;pl;24;1;1;2017;77
36;"Vilniaus darželis - mokykla ""Saulutė""";190022061;ru;30;1;1;2017;77
25;"Vilniaus ""Žiburio"" pradinė mokykla";190022638;lt;72;3;1;2017;472
43;"Vilniaus darželis-mokykla ""Vilija""";190022976;pl;49;2;1;2017;133
38;"Vilniaus darželis-mokykla ""Berželis""";190026120;ru;0;0;1;2017;21
42;"Vilniaus darželis-mokykla ""Svaja""";190026654;ru;48;2;1;2017;158
40;"Vilniaus darželis-mokykla ""Lokiukas""";190028139;ru;52;2;1;2017;149
4;"Vilniaus ""Aušros"" mokykla-darželis";190032365;lt;24;1;1;2017;266
68;"Vilniaus Medeinos pradinė mokykla";190032746;lt;72;3;1;2017;496
22;"Vilniaus ""Vilties"" specialioji mokykla-daugiafunkcinis centras";190034188;lt;0;0;1;2017;38
