ID;INSTITUTION;INSTITUTION_CODE;LANGUAGE;CHILD_QUOTA;CLASS_COUNT;CLASS;QUOTA_YEAR;SUBMIT_COUNT
53;"Vilniaus Joachimo Lelevelio inžinerijos gimnazija";190000175;lt;20;1;1;2017;2
53;"Vilniaus Joachimo Lelevelio inžinerijos gimnazija";190000175;pl;20;1;1;2017;288
53;"Vilniaus Joachimo Lelevelio inžinerijos gimnazija";190000175;ru;20;1;1;2017;636
117;"Vilniaus Žirmūnų gimnazija";190000360;lt;0;0;1;2017;1950
34;"Vilniaus Baltupių progimnazija";190000894;lt;96;4;1;2017;1280
52;"Vilniaus Jeruzalės progimnazija";190000937;en;96;4;1;2017;1
52;"Vilniaus Jeruzalės progimnazija";190000937;lt;96;4;1;2017;1281
119;"Vilniaus Žvėryno gimnazija";190001081;lt;0;0;1;2017;2010
103;"Vilniaus Užupio gimnazija";190001124;lt;0;0;1;2017;1973
111;"Vilniaus Vladislavo Sirokomlės gimnazija";190001462;lt;70;3;1;2017;1
111;"Vilniaus Vladislavo Sirokomlės gimnazija";190001462;pl;70;3;1;2017;477
50;"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";190001843;en;94;4;1;2017;1
50;"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";190001843;lt;94;4;1;2017;2525
50;"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";190001843;pl;94;4;1;2017;2
102;"Vilniaus Tuskulėnų gimnazija";190002030;lt;96;4;1;2017;1281
87;"Vilniaus Senvagės gimnazija";190002226;lt;0;0;1;2017;1004
108;"Vilniaus Viršuliškių progimnazija";190002379;lt;96;4;1;2017;843
108;"Vilniaus Viršuliškių progimnazija";190002379;ru;96;4;1;2017;1
63;"Vilniaus Levo Karsavino mokykla";190002411;ru;72;3;1;2017;1013
66;"Vilniaus Maironio progimnazija";190002564;lt;48;2;1;2017;808
78;"Vilniaus Radvilų gimnazija";190003285;en;0;0;1;2017;1
78;"Vilniaus Radvilų gimnazija";190003285;lt;0;0;1;2017;1328
69;"Vilniaus Mykolo Biržiškos gimnazija";190003328;lt;0;0;1;2017;2415
69;"Vilniaus Mykolo Biržiškos gimnazija";190003328;ru;0;0;1;2017;1
29;"Vilniaus Aleksandro Puškino gimnazija";190003470;lt;89;4;1;2017;1
29;"Vilniaus Aleksandro Puškino gimnazija";190003470;ru;89;4;1;2017;892
48;"Vilniaus Gabijos gimnazija";190003513;lt;96;4;1;2017;4417
48;"Vilniaus Gabijos gimnazija";190003513;ru;96;4;1;2017;2
1;"Vilniaus ""Ateities"" mokykla";190003666;ru;80;4;1;2017;660
46;"Vilniaus Fabijoniškių gimnazija";190003851;en;96;4;1;2017;1
46;"Vilniaus Fabijoniškių gimnazija";190003851;lt;96;4;1;2017;1691
47;"Vilniaus Filaretų pradinė mokykla";190004234;de;96;4;1;2017;3
47;"Vilniaus Filaretų pradinė mokykla";190004234;en;96;4;1;2017;1
47;"Vilniaus Filaretų pradinė mokykla";190004234;lt;96;4;1;2017;1081
47;"Vilniaus Filaretų pradinė mokykla";190004234;ru;96;4;1;2017;1
80;"Vilniaus Salomėjos Nėries gimnazija";190004387;lt;0;0;1;2017;1074
51;"Vilniaus Gerosios Vilties progimnazija";190004615;lt;96;4;1;2017;711
92;"Vilniaus Simono Konarskio gimnazija";190005140;pl;66;3;1;2017;485
81;"Vilniaus Sausio 13-osios progimnazija";190005293;lt;48;2;1;2017;936
