PRASYMO_ID;PRASYMO_PATEIKIMO_DATA;LANKYTI_NUO;ISTAIGA;ISTAIGOS_KODAS;KALBA;PAGEIDAUJAMA_LANKYTI_KLASE;MOK_GATV_K;MOK_SENIUNIJOS_NR;ISTAIGA_PAGAL_TERITORIJA;AR_TERITORINE;CR_1;CR_2;CR_3;CR_4;CR_5;CR_6;CR_7;CR_8;CR_9;CR_10;CR_11;CR_12;CR_13
1;"2017-02-28 16:13:10";2017-09-01;"Vilniaus ""Atgajos"" specialioji mokykla";190981194;lt;5;355;5;999999999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;"2017-02-28 16:39:15";2017-09-01;"Vilniaus ""Spindulio"" progimnazija";190006242;lt;1;;;999999999;;0;1;0;0;0;0;0;0;0;0;0;0;0
2;"2017-02-28 16:39:15";2017-09-01;"Vilniaus ""Atžalyno"" mokykla-darželis";191665861;lt;1;;;999999999;;0;1;0;0;0;0;0;0;0;0;0;0;0
2;"2017-02-28 16:39:15";2017-09-01;"Vilniaus ""Vilnies"" pagrindinė mokykla";191715435;lt;1;;;999999999;;0;1;0;0;0;0;0;0;0;0;0;0;0
2;"2017-02-28 16:39:15";2017-09-01;"Vilniaus ""Taikos"" progimnazija";195007889;lt;1;;;999999999;;0;1;0;0;0;0;0;0;0;0;0;0;0
2;"2017-02-28 16:39:15";2017-09-01;"Vilniaus ""Vilnies"" pagrindinė mokykla";191715435;lt;1;;;999999999;;0;1;0;0;0;0;0;0;0;0;0;0;0
3;"2017-02-28 16:40:46";2017-09-01;"Vilniaus ""Aušros"" mokykla-darželis";190032365;lt;1;;;999999999;;0;0;0;0;0;0;0;0;0;0;0;0;0
3;"2017-02-28 16:40:46";2017-09-01;"Vilniaus Baltupių progimnazija";190000894;lt;1;;;999999999;;0;0;0;0;0;0;0;0;0;0;0;0;0
3;"2017-02-28 16:40:46";2017-09-01;"Vilniaus šv. Kristoforo progimnazija";302420714;lt;1;;;999999999;;0;0;0;0;0;0;0;0;0;0;0;0;0
3;"2017-02-28 16:40:46";2017-09-01;"Vilniaus Baltupių progimnazija";190000894;lt;1;;;999999999;;0;0;0;0;0;0;0;0;0;0;0;0;0
3;"2017-02-28 16:40:46";2017-09-01;"Vilniaus Baltupių progimnazija";190000894;lt;1;;;999999999;;0;0;0;0;0;0;0;0;0;0;0;0;0
4;"2017-02-28 16:41:17";2017-09-01;"Vilniaus Senamiesčio mokykla";190006819;ru;2;;;999999999;;0;0;0;0;0;0;0;0;0;0;0;0;0
4;"2017-02-28 16:41:17";2017-09-01;"Vilniaus Šilo mokykla";191722433;ru;2;;;999999999;;0;0;0;0;0;0;0;0;0;0;0;0;0
4;"2017-02-28 16:41:17";2017-09-01;"Vilniaus ""Santaros"" progimnazija";304089978;ru;2;;;999999999;;0;0;0;0;0;0;0;0;0;0;0;0;0
4;"2017-02-28 16:41:17";2017-09-01;"Vilniaus Aleksandro Puškino mokykla";190003470;ru;2;;;999999999;;0;0;0;0;0;0;0;0;0;0;0;0;0
4;"2017-02-28 16:41:17";2017-09-01;"Vilniaus Joachimo Lelevelio inžinerijos mokykla";190000175;ru;2;;;999999999;;0;0;0;0;0;0;0;0;0;0;0;0;0
4;"2017-02-28 16:41:17";2017-09-01;"Vilniaus Joachimo Lelevelio inžinerijos mokykla";190000175;ru;2;;;999999999;;0;0;0;0;0;0;0;0;0;0;0;0;0
5;"2017-02-28 16:41:37";2017-09-01;"Vilniaus ""Vilnies"" pagrindinė mokykla";191715435;lt;1;;;999999999;;0;0;0;0;0;0;0;0;0;0;0;0;0
5;"2017-02-28 16:41:37";2017-09-01;"Vilniaus ""Vyturio"" pradinė mokykla";190009167;lt;1;;;999999999;;0;0;0;0;0;0;0;0;0;0;0;0;0
5;"2017-02-28 16:41:37";2017-09-01;"Vilniaus Antano Vienuolio progimnazija";300134205;lt;1;;;999999999;;0;0;0;0;0;0;0;0;0;0;0;0;0
