id;name;code;address
89;Vilniaus Ðilo mokykla;191722433;Nenustatyta
90;Vilniaus Simono Daukanto gimnazija;301806652;Nenustatyta
91;Vilniaus Simono Daukanto progimnazija;301806638;Nenustatyta
92;Vilniaus Simono Konarskio mokykla;190005140;Nenustatyta
93;Vilniaus Simono Stanevièiaus progimnazija;290008970;Nenustatyta
94;Vilniaus Sofijos Kovalevskajos gimnazija;304075188;Nenustatyta
95;Vilniaus Sofijos Kovalevskajos progimnazija;304075156;Nenustatyta
96;Vilniaus Ðolomo Aleichemo ORT gimnazija;190009352;Nenustatyta
97;"Vilniaus specialiojo ugdymo centras ""Aidas""";190017790;Nenustatyta
98;Vilniaus suaugusiøjø mokymo centras;190009548;Nenustatyta
99;Vilniaus ðv. Kristoforo gimnazija;302420721;Nenustatyta
100;Vilniaus ðv. Kristoforo progimnazija;302420714;Nenustatyta
101;Vilniaus Trakø Vokës gimnazija;191317260;Nenustatyta
102;Vilniaus Tuskulënø gimnazija;190002030;Nenustatyta
103;Vilniaus Uþupio gimnazija;190001124;Nenustatyta
104;Vilniaus Vaduvos darþelis-mokykla;290013960;Nenustatyta
105;Vilniaus Vasilijaus Kaèialovo gimnazija;290005860;Nenustatyta
106;Vilniaus Verkiø mokykla-daugiafunkcis centras;190981237;Verkiø g. 62, LT-09128, Vilnius
107;Vilniaus Vilkpëdës darþelis-mokykla;190016699;Nenustatyta
108;Vilniaus Virðuliðkiø progimnazija;190002379;Nenustatyta
109;Vilniaus Vytauto Didþiojo gimnazija;300134269;Nenustatyta
110;Vilniaus Vytës Nemunëlio pradinë mokykla;195472468;Nenustatyta
111;Vilniaus Vladislavo Sirokomlës gimnazija;190001462;Nenustatyta
112;Vilniaus Volungës darþelis-mokykla;191713046;Nenustatyta
113;Vilniaus Þaliakalnio darþelis-mokykla;191713231;Nenustatyta
114;Vilniaus Þemynos gimnazija;190008827;Nenustatyta
115;Vilniaus Þemynos progimnazija;295472120;Nenustatyta
116;Vilniaus Þëruèio pradinë mokykla;195007921;Nenustatyta
117;Vilniaus Þirmûnø gimnazija;190000360;Nenustatyta
118;Vilniaus Þygimanto Augusto pagrindinë mokykla;290003090;Nenustatyta
119;Vilniaus Þvëryno gimnazija;190001081;Nenustatyta
120;"Vilniaus ""Vilnios"" pagrindinë mokykla";190978974;Nenustatyta
121;Vilniaus sporto mokykla ,,Tauras“;190010479;Þygio g. 46, LT-08232 Vilnius
123;Vilniaus miesto sporto centras;303305444;Kauno g. 43, LT- 03203, Vilnius
124;Vilniaus futbolo mokykla;124192115;P. Þadeikos g. 2, LT-06318 Vilnius
125;Vilniaus krepðinio mokykla;190010326;Birþelio 23-iosios g. 10A, Vilnius, LT-03205
126;Karoliniðkiø muzikos mokykla;191662566;L. Asanavièiûtës g. 1, LT-04300 Vilnius
127;Vilniaus muzikos mokykla „Lyra“;191663091;Taikos g. 47, LT-05260 Vilnius
128;Vilniaus Algirdo muzikos mokykla;191662413;Algirdo g. 23/6, Vilnius LT-03219
129;Vilniaus „Àþuoliuko“ muzikos mokykla;191662751;Gedimino pr. 15A, Vilnius, LT-01103
130;Vilniaus Balio Dvariono deðimtmetë muzikos  mokykla;191662185;T. Kosciuðkos g. 13, LT-01100 Vilnius
131;Vilniaus Broniaus Jonuðo muzikos mokykla;191662370;Dariaus ir Girëno g. 16, Vilnius
132;Vilniaus Naujosios Vilnios muzikos mokykla;191662228;Karklënø g. 9, Vilnius 11223
133;Vilniaus Justino Vienoþinskio dailës mokykla;191663134;S. Konarskio g. 37, LT-03123, Vilnius
134;Vilniaus Grigiðkiø meno mokykla;191818093;Paðto g.10, Grigiðkës, Vilnius LT-27105
