ID;INSTITUTION;INSTITUTION_CODE;LANGUAGE;CHILD_QUOTA;CLASS_COUNT;CLASS;QUOTA_YEAR;SUBMIT_COUNT
1;"Vilniaus „Ateities“ mokykla";190003666;ru;80;4;1;2017;1361
1;"Vilniaus „Ateities“ mokykla";190003666;be;80;4;1;2017;8
1;"Vilniaus „Ateities“ mokykla";190003666;lt;80;4;1;2017;4
3;"Vilniaus „Atžalyno“ mokykla-darželis";191665861;lt;48;2;1;2017;503
4;"Vilniaus „Aušros“ mokykla-darželis";190032365;lt;24;1;1;2017;651
5;"Vilniaus ""Ąžuolyno"" progimnazija";190006395;lt;78;3;1;2017;2719
5;"Vilniaus ""Ąžuolyno"" progimnazija";190006395;ru;78;3;1;2017;2
6;"Vilniaus kunigaikščio Gedimino progimnazija";191665719;lt;168;7;1;2017;4631
6;"Vilniaus kunigaikščio Gedimino progimnazija";191665719;ru;168;7;1;2017;1
7;"Vilniaus ""Gijos"" jaunimo mokykla";290010850;lt;0;0;1;2017;120
8;"Vilniaus ""Juventos"" gimnazija";190008599;ru;0;0;1;2017;755
8;"Vilniaus ""Juventos"" gimnazija";190008599;lt;0;0;1;2017;70
9;"Vilniaus ""Laisvės"" gimnazija";190007682;lt;0;0;1;2017;995
10;"Vilniaus ""Minties"" gimnazija";190005717;lt;0;0;1;2017;1492
10;"Vilniaus ""Minties"" gimnazija";190005717;ru;0;0;1;2017;1
11;"Vilniaus „Pelėdos” pradinė mokykla";190016165;lt;72;3;1;2017;899
12;"Vilniaus Ryto progimnazija";190006057;lt;72;3;1;2017;1671
12;"Vilniaus Ryto progimnazija";190006057;ru;72;3;1;2017;2
13;"Vilniaus ""Santaros"" gimnazija";304089960;ru;0;0;1;2017;1289
13;"Vilniaus ""Santaros"" gimnazija";304089960;lt;0;0;1;2017;24
13;"Vilniaus ""Santaros"" gimnazija";304089960;be;0;0;1;2017;4
13;"Vilniaus ""Santaros"" gimnazija";304089960;en;0;0;1;2017;1
14;"Vilniaus ""Santaros"" progimnazija";304089978;ru;50;2;1;2017;495
14;"Vilniaus ""Santaros"" progimnazija";304089978;lt;50;2;1;2017;1
15;"Vilniaus Saulėtekio mokykla-daugiafunkcinis centras";190007497;ru;66;3;1;2017;650
15;"Vilniaus Saulėtekio mokykla-daugiafunkcinis centras";190007497;lt;66;3;1;2017;2
15;"Vilniaus Saulėtekio mokykla-daugiafunkcinis centras";190007497;be;66;3;1;2017;3
16;"Vilniaus ""Sietuvos"" progimnazija";190008784;lt;75;3;1;2017;2016
17;"Vilniaus „Spindulio“ progimnazija";190006242;lt;72;3;1;2017;1343
18;"Vilniaus ""Šviesos"" pradinė mokykla";191665480;lt;96;4;1;2017;1223
18;"Vilniaus ""Šviesos"" pradinė mokykla";191665480;ru;96;4;1;2017;1
19;"Vilniaus Taikos progimnazija";195007889;lt;72;3;1;2017;2182
19;"Vilniaus Taikos progimnazija";195007889;ru;72;3;1;2017;1
20;"Vilniaus ""Varpo"" suaugusiųjų gimnazija";190009886;lt;0;0;1;2017;212
21;"Vilniaus Pavilnio progimnazija";191715435;lt;24;1;1;2017;774
120;"Vilnios „Vilnios“ pagrindinė mokykla";190978974;lt;16;1;1;2017;452
22;"Vilniaus „Vilties“ specialioji mokykla-daugiafunkcinis centras";190034188;lt;0;0;1;2017;117
22;"Vilniaus „Vilties“ specialioji mokykla-daugiafunkcinis centras";190034188;ru;0;0;1;2017;1
23;"Vilniaus ""Vyturio"" pradinė mokykla";190009167;lt;96;4;1;2017;1397
23;"Vilniaus ""Vyturio"" pradinė mokykla";190009167;ru;96;4;1;2017;1
24;"Vilniaus ""Žaros"" gimnazija";190007910;ru;65;3;1;2017;765
24;"Vilniaus ""Žaros"" gimnazija";190007910;lt;65;3;1;2017;2
24;"Vilniaus ""Žaros"" gimnazija";190007910;pl;65;3;1;2017;1
25;"Vilniaus ""Žiburio"" pradinė mokykla";190022638;lt;72;3;1;2017;1298
26;"Vilniaus ""Židinio"" suaugusiųjų gimnazija";190009733;lt;0;0;1;2017;487
27;"Vilniaus Abraomo Kulviečio klasikinė gimnazija";195005870;lt;96;4;1;2017;2282
28;"Vilniaus Adomo Mickevičiaus licėjus";190006961;pl;0;0;1;2017;667
28;"Vilniaus Adomo Mickevičiaus licėjus";190006961;lt;0;0;1;2017;1
29;"Vilniaus Aleksandro Puškino gimnazija";190003470;ru;89;4;1;2017;1314
29;"Vilniaus Aleksandro Puškino gimnazija";190003470;lt;89;4;1;2017;7
29;"Vilniaus Aleksandro Puškino gimnazija";190003470;be;89;4;1;2017;2
30;"Vilniaus Antakalnio gimnazija";302817872;lt;0;0;1;2017;2323
30;"Vilniaus Antakalnio gimnazija";302817872;pl;0;0;1;2017;1
31;"Vilniaus Antakalnio progimnazija";302818006;lt;120;5;1;2017;3499
31;"Vilniaus Antakalnio progimnazija";302818006;ru;120;5;1;2017;3
31;"Vilniaus Antakalnio progimnazija";302818006;pl;120;5;1;2017;1
32;"Vilniaus Antano Vienuolio progimnazija";300134205;lt;72;3;1;2017;2319
33;"Vilniaus Balsių progimnazija";302589995;lt;96;4;1;2017;1593
34;"Vilniaus Baltupių progimnazija";190000894;lt;96;4;1;2017;1934
34;"Vilniaus Baltupių progimnazija";190000894;ru;96;4;1;2017;1
35;"Vilniaus Barboros Radvilaitės progimnazija";195474280;lt;96;4;1;2017;1497
36;"Vilniaus darželis - mokykla „Saulutė“";190022061;ru;30;1;1;2017;307
36;"Vilniaus darželis - mokykla „Saulutė“";190022061;lt;30;1;1;2017;2
36;"Vilniaus darželis - mokykla „Saulutė“";190022061;be;30;1;1;2017;1
37;"Vilniaus darželis - mokykla „Vaivorykštė“";190013393;ru;52;2;1;2017;718
37;"Vilniaus darželis - mokykla „Vaivorykštė“";190013393;lt;52;2;1;2017;2
38;"Vilniaus lopšelis-darželis „Berželis“";190026120;ru;0;0;1;2017;21
39;"Vilniaus darželis-mokykla „Dainorėliai“";190012291;lt;22;1;1;2017;472
40;"Vilniaus darželis-mokykla „Lokiukas“";190028139;ru;52;2;1;2017;563
40;"Vilniaus darželis-mokykla „Lokiukas“";190028139;be;52;2;1;2017;2
40;"Vilniaus darželis-mokykla „Lokiukas“";190028139;lt;52;2;1;2017;2
41;"Vilniaus darželis-mokykla „Šaltinėlis“";190021689;pl;24;1;1;2017;250
42;"Vilniaus darželis-mokykla „Svaja“";190026654;ru;48;2;1;2017;509
42;"Vilniaus darželis-mokykla „Svaja“";190026654;lt;48;2;1;2017;1
43;"Vilniaus darželis-mokykla „Vilija“";190022976;pl;49;2;1;2017;656
44;"Vilniaus lopšelis-darželis „Žiburėlis“";290028510;lt;0;0;1;2017;12
45;"Vilniaus Emilijos Pliaterytės progimnazija";195472653;lt;120;5;1;2017;2729
45;"Vilniaus Emilijos Pliaterytės progimnazija";195472653;pl;120;5;1;2017;1
46;"Vilniaus Fabijoniškių gimnazija";190003851;lt;96;4;1;2017;2312
46;"Vilniaus Fabijoniškių gimnazija";190003851;en;96;4;1;2017;1
46;"Vilniaus Fabijoniškių gimnazija";190003851;ru;96;4;1;2017;1
47;"Vilniaus Filaretų pradinė mokykla";190004234;lt;96;4;1;2017;1598
47;"Vilniaus Filaretų pradinė mokykla";190004234;de;96;4;1;2017;2
47;"Vilniaus Filaretų pradinė mokykla";190004234;ru;96;4;1;2017;1
47;"Vilniaus Filaretų pradinė mokykla";190004234;en;96;4;1;2017;2
47;"Vilniaus Filaretų pradinė mokykla";190004234;pl;96;4;1;2017;1
48;"Vilniaus Gabijos gimnazija";305607530;lt;96;4;1;2017;5932
48;"Vilniaus Gabijos gimnazija";305607530;ru;96;4;1;2017;2
49;"Vilniaus Gabrielės Petkevičaitės-Bitės suaugusiųjų mokymo centras";291710460;lt;0;0;1;2017;19
50;"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";190001843;lt;94;4;1;2017;3615
50;"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";190001843;pl;94;4;1;2017;3
